,0
599,好元气！【#刘宇 TMEA腾讯音乐娱乐盛典#🦈#腾讯音乐娱乐盛典# 期待青年舞者，青年歌手，国风美少年刘宇在TMEA的精彩表现！@INTO1-刘宇 】
600,好厉害啊刘宇
601,好喜欢青春洋溢的小宇，永远开心快乐！
602,我崽好可爱呀[开学季]
603,安艺很牛的，不要小瞧他它 08年奥运会开幕式学生几乎都去了[兔子]
604,这个视频我下载下来了，常常看[泪]我的宝，真的青春活力满满的[泪]我老了[可怜] #刘宇 TMEA腾讯音乐娱乐盛典#  @INTO1-刘宇
605,#刘宇国风美少年# [可爱]#刘宇百变小甜c# 阳光正好，少年青春，遗憾错过昨日，更高兴能见你今日，刘宇@INTO1-刘宇 
606,“朝气蓬勃”  //@居鸿一宇: 是金子到哪里都能发光 薅青春洋溢的小妞妤！
607,是儿子！！！@亲一口小波
608,一直很喜欢这个视频
609,哈迪温伯格定理，又想起我当生物狗的日子了
610,愿意承认错误还挺牛逼
611,哈迪温伯格定理……这是现在中学需要接触到底内容么？
612,哈迪-温伯格定律，好熟悉的东西，刚上过
613,这有什么！宇宙都起源韩国。
614,出错题蛮正常啊，感觉每年的卷子也都会出错题，有点夸大问题了
615,我们这里大考年年出错
616,还知道是错题，有进步
617,没人提前做过一遍吗
618,哈迪温伯格定理，又想起我当生物狗的日子了[二哈]
619,愿意承认错误还挺牛逼
620,哈迪温伯格定理……这是现在中学需要接触到底内容么？
621,哈迪-温伯格定律，好熟悉的东西，刚上过[笑cry]
622,nobody cares
623,这有什么！宇宙都起源韩国。
624,出错题蛮正常啊，感觉每年的卷子也都会出错题，有点夸大问题了
625,我们这里大考年年出错
626,还知道是错题，有进步
627,没人提前做过一遍吗
628,研究生考试经常出错啊[疑问]
629,18年9次，2年一次。问题不大[doge]。
630,#周翊然说金家骏比乔七七还惨#​金家骏很惨摊上这样的爹
631,#周翊然说金家骏比乔七七还惨#​真让人无语了
632,#周翊然角色吸渣爹体质# #周翊然说金家骏比乔七七还惨#​七七骏骏我们不哭
633,碰到这样的爸爸，真的好无奈呀好心疼你
634,这个男孩可真好看@周翊然Tz
635,有一小部分的家长就是这样只顾当前利益，目光短浅，殊不知毁掉了自己孩子有选择的人生。
636,#周翊然角色吸渣爹体质# #周翊然说金家骏比乔七七还惨#​帅哥太惨了，追剧支持你．
637,#周翊然角色吸渣爹体质# #周翊然说金家骏比乔七七还惨#​演技真的绝了
638,#周翊然说金家骏比乔七七还惨#​金家骏很惨摊上这样的爹
639,#周翊然说金家骏比乔七七还惨#​真让人无语了
640,#周翊然角色吸渣爹体质#  #周翊然说金家骏比乔七七还惨#​七七骏骏我们不哭
641,碰到这样的爸爸，真的好无奈呀 好心疼你 
642,这个男孩可真好看@周翊然Tz [太开心][doge]
643,有一小部分的家长就是这样只顾当前利益，目光短浅，殊不知毁掉了自己孩子有选择的人生。
644,#周翊然角色吸渣爹体质#  #周翊然说金家骏比乔七七还惨#​帅哥太惨了，追剧支持你．
645,#周翊然角色吸渣爹体质#  #周翊然说金家骏比乔七七还惨#​演技真的绝了
646,#周翊然角色吸渣爹体质#  #周翊然说金家骏比乔七七还惨#​他爸的这个人设，我一点儿都不喜欢 ，不知道心疼儿子
647,#周翊然角色吸渣爹体质#代入感太强了，好心疼
648,确实有点儿小心疼。#周翊然角色吸渣爹体质#  #周翊然说金家骏比乔七七还惨#​
649,这样的父亲好可恨啊
650,#周翊然角色吸渣爹体质# 好心疼周翊然啊
651,#周翊然角色吸渣爹体质#  #周翊然说金家骏比乔七七还惨#演技实在是太好了。
652,不管怎样是他爸爸
653,#周翊然角色吸渣爹体质#  #周翊然说金家骏比乔七七还惨#​太心疼俊俊了，爹不靠谱
654,#周翊然角色吸渣爹体质# #周翊然说金家骏比乔七七还惨#哪有这样的父亲啊 实在是太心疼了 
